,_id,ltable_id,rtable_id,ltable_authors,ltable_venue,ltable_year,rtable_authors,rtable_venue,rtable_year,is_matched
1,1,276377,conf/sigmod/OlstonWACELSS98,"Chris Olston, Allison Woodruff, Alexander Aiken, Michael Chu, Vuk Ercegovac, Mark Lin, Mybrid Spalding, Michael Stonebraker",International Conference on Management of Data,1998,"Vuk Ercegovac, Allison Woodruff, Michael Stonebraker, Mark Lin, Mybrid Spalding, Alexander Aiken, Chris Olston, Michael Chu",SIGMOD Conference,1998,1
2,2,276367,conf/sigmod/Aulakh98,Kamar Aulakh,International Conference on Management of Data,1998,Kamar Aulakh,SIGMOD Conference,1998,1
3,3,304211,journals/vldb/MaratheS02,"Arunprasad P. Marathe, Kenneth Salem",International Conference on Management of Data,1999,"Arunprasad P. Marathe, Kenneth Salem",VLDB J.,2002,0
5,5,375720,conf/sigmod/TatarinovIHW01,"Igor Tatarinov, Zachary G. Ives, Alon Y. Halevy, Daniel S. Weld",International Conference on Management of Data,2001,"Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy",SIGMOD Conference,2001,1
7,7,568520,journals/tods/ChakrabartiKMP02,"Kaushik Chakrabarti, Eamonn Keogh, Sharad Mehrotra, Michael Pazzani",ACM Transactions on Database Systems (TODS),2002,"Kaushik Chakrabarti, Eamonn J. Keogh, Michael J. Pazzani, Sharad Mehrotra",ACM Trans. Database Syst.,2002,1
8,8,383735,journals/tods/AndriesCPB01,"Marc Andries, Luca Cabibbo, Jan Paredaens, Jan van den Bussche",ACM Transactions on Database Systems (TODS),2001,"Jan Van den Bussche, Marc Andries, Jan Paredaens, Luca Cabibbo",ACM Trans. Database Syst.,2001,1
9,9,383736,journals/tods/DekhtyarRS01,"Alex Dekhtyar, Robert Ross, V. S. Subrahmanian",ACM Transactions on Database Systems (TODS),2001,"Alex Dekhtyar, Robert Ross, V. S. Subrahmanian",ACM Trans. Database Syst.,2001,1
10,10,502031,journals/tods/EiterLLS01,"Thomas Eiter, James J. Lu, Thomas Lukasiewicz, V. S. Subrahmanian",ACM Transactions on Database Systems (TODS),2001,"Thomas Eiter, V. S. Subrahmanian, Thomas Lukasiewicz, James J. Lu",ACM Trans. Database Syst.,2001,1
11,11,383894,journals/tods/JajodiaSSS01,"Sushil Jajodia, Pierangela Samarati, Maria Luisa Sapino, V. S. Subrahmanian",ACM Transactions on Database Systems (TODS),2001,"V. S. Subrahmanian, Sushil Jajodia, Pierangela Samarati, Maria Luisa Sapino",ACM Trans. Database Syst.,2001,1
13,13,503102,journals/tods/LakshmananSS01,"Laks V. S. Lakshmanan, Fereidoon Sadri, Subbu N. Subramanian",ACM Transactions on Database Systems (TODS),2001,"Fereidoon Sadri, Laks V. S. Lakshmanan, Subbu N. Subramanian",ACM Trans. Database Syst.,2001,1
14,14,503100,journals/tods/KotidisR01,"Yannis Kotidis, Nick Roussopoulos",ACM Transactions on Database Systems (TODS),2001,"Nick Roussopoulos, Yannis Kotidis",ACM Trans. Database Syst.,2001,1
15,15,505049,journals/tods/Snodgrass01,Richard Snodgrass,ACM Transactions on Database Systems (TODS),2001,Richard T. Snodgrass,ACM Trans. Database Syst.,2001,1
16,16,505049,journals/tods/Snodgrass01a,Richard Snodgrass,ACM Transactions on Database Systems (TODS),2001,Richard T. Snodgrass,ACM Trans. Database Syst.,2001,1
